word,alternatives,meanings,created_at,last_seen_at,parts_of_speech
払う,はらう,to pay (more general; to pay respect; money; etc),2026-08-12,2026-08-12,verb
支払う,しはらう,to pay (narrow use focused on paying a monetary expense),2026-08-12,2026-08-12,verb
渡る,わたる,to go across,2026-08-12,2026-08-12,verb
間違える,まちがえる,to make a mistake,2026-08-12,2026-08-12,verb
褒める,ほめる,to praise (someone),2026-08-12,2026-08-12,verb
囲む,かこむ,to surround,2026-08-12,2026-08-12,verb
喧嘩する,ケンカする,to fight,2026-08-12,2026-08-12,verb
仲直りする,なかなおりする,to make up; to resolve the issue,2026-08-12,2026-08-12,verb
我慢する,がまんする,to be patient,2026-08-12,2026-08-12,verb
悩む,なやむ,to be troubled; to be worried,2026-08-12,2026-08-12,verb
心配する,しんぱいする,to worry,2026-08-12,2026-08-12,verb
生き返る,いきかえる,to come back to life,2026-08-12,2026-08-12,verb
隠す,かくす,to hide (something),2026-08-12,2026-08-12,verb
隠れる,かくれる,to be hidden,2026-08-12,2026-08-12,verb
育つ,そだつ,to grow up,2026-08-12,2026-08-12,verb
弾く,ひく,to play (strings/keys instruments),2026-08-12,2026-08-12,verb
吹く,ふく,to play (wind/brass instruments),2026-08-12,2026-08-12,verb
叩く,たたく,to play (percussion); to hit (from light taps to slapping; makes noise),2026-08-12,2026-08-12,verb
演奏する,えんそうする,to play an instrument (in general),2026-08-12,2026-08-12,verb
掃除する,そうじする,to clean up,2026-08-12,2026-08-12,verb
洗濯する,せんたくする,to do laundry,2026-08-12,2026-08-12,verb
遅刻する,ちこくする,to be late,2026-08-12,2026-08-12,verb
畳む,たたむ,to fold,2026-08-12,2026-08-12,verb
しまう,しまう,to put away,2026-08-12,2026-08-12,verb
謙遜している,けんそんしている,to be humble,2026-08-12,2026-08-12,verb
照れる,てれる,to be embarrassed,2026-08-12,2026-08-12,verb
求める,もとめる,to seek; to demand,2026-08-12,2026-08-12,verb
回ってくる,まわってくる,to come around,2026-08-12,2026-08-12,verb
沸かす,わかす,to boil (e.g. water),2026-08-12,2026-08-12,verb
望む,のぞむ,to seek,2026-08-12,2026-08-12,verb
守る,まもる,to defend,2026-08-12,2026-08-12,verb
洗う,あらう,to wash,2026-08-12,2026-08-12,verb
乾く,かわく,to get dry; to become parched,2026-08-12,2026-08-12,verb
踊る,おどる,to dance,2026-08-12,2026-08-12,verb
驚く,おどろく,to be surprised,2026-08-12,2026-08-12,verb
びっくりする,びっくりする,to be surprised,2026-08-12,2026-08-12,verb
怒る,おこる,to get angry,2026-08-12,2026-08-12,verb
歳を取る,としをとる,to get older,2026-08-12,2026-08-12,verb
過ごす,すごす,to spend (time); to pass; to lead (a life); to live,2026-08-12,2026-08-12,verb
目指す,めざす,to aim for,2026-08-12,2026-08-12,verb
掛ける,かける,to hang up; to pour; to multiple; to raise (a flag); … (it’s almost like する with so many uses),2026-08-12,2026-08-12,verb
進める,すすめる,to proceed　,2026-08-12,2026-08-12,verb
進む,すすむ,to continue,2026-08-12,2026-08-12,verb
続ける,つづける,to continue,2026-08-12,2026-08-12,verb
おしっこする,おしっこする,to pee,2026-08-12,2026-08-12,verb
下ろす,おろす,to withdraw (money),2026-08-12,2026-08-12,verb
間に合う,まにあう,to be in time,2026-08-12,2026-08-12,verb
招く,まねく,to invite (into your home; to a place),2026-08-12,2026-08-12,verb
誘う,さそう,to invite to do something together,2026-08-12,2026-08-12,verb
手を繋ぐ,てをつなぐ,to hold hands,2026-08-12,2026-08-12,verb
脱ぐ,ぬぐ,to take off (clothes; shoes),2026-08-12,2026-08-12,verb
揃える,そろえる,to arrange; to gather (a collection),2026-08-12,2026-08-12,verb
行う,おこなう,to carry out; to conduct; to do,2026-08-12,2026-08-12,verb
失う,うしなう,to lose,2026-08-12,2026-08-12,verb
行く,いく,to go,2026-08-12,2026-08-12,verb
数える,かぞえる,to count; to enumerate,2026-08-12,2026-08-12,verb
断る,ことわる,to refuse; to turn down,2026-08-12,2026-08-12,verb
片付ける,かたづける,to put away (clean up),2026-08-12,2026-08-12,verb
垂らす,たらす,to let down,2026-08-12,2026-08-12,verb
許す,ゆるす,to forgive,2026-08-12,2026-08-12,verb
待ち望む,まちのぞむ,to wait in hope,2026-08-12,2026-08-12,verb
察する,さっする,to guess; to perceive the meaning,2026-08-12,2026-08-12,verb
調整する,ちょうせいする,to adjust,2026-08-12,2026-08-12,verb
解く,ほどく,to solve,2026-08-12,2026-08-12,verb
野次る,やじる,to heckle; to hoot,2026-08-12,2026-08-12,verb
努める,つとめる,to strive; to make an effort,2026-08-12,2026-08-12,verb
自分に酔っている,じぶんによっている,to be infatuated with oneself,2026-08-12,2026-08-12,verb
携わる,たずさわる,to participate in,2026-08-12,2026-08-12,verb
流行る,はやる,to become popular,2026-08-12,2026-08-12,verb
バズる,バズる,to go viral,2026-08-12,2026-08-12,verb
勤める,つとめる,to work (for); to be employed (at),2026-08-12,2026-08-12,verb
務める,つとめる,to work (for); to be employed (at),2026-08-12,2026-08-12,verb
諦める,あきらめる,to give up,2026-08-12,2026-08-12,verb
実がなる,みがなる,to produce fruit/crop,2026-08-12,2026-08-12,verb
合う,あう,to fit; to be on point; to be correct,2026-08-12,2026-08-12,verb
まとめる,まとめる,to summarize,2026-08-12,2026-08-12,verb
負ける,まける,to lose,2026-08-12,2026-08-12,verb
熾す,おこす,to ignite,2026-08-12,2026-08-12,verb
伝う,つたう,to transmit; to convey,2026-08-12,2026-08-12,verb
喋る,しゃべる,to speak,2026-08-12,2026-08-12,verb
扱う,あつかう,to handle; to treat; to deal with,2026-08-12,2026-08-12,verb
拭く,ふく,to wipe,2026-08-12,2026-08-12,verb
助ける,たすける,to help someone who is in trouble or out of a situation,2026-08-12,2026-08-12,verb
救う,すくう,to save someone (in a spiritual or fatalistic sense),2026-08-12,2026-08-12,verb
倒れる,たおれる,to fall over; to collapse,2026-08-12,2026-08-12,verb
繋ぐ,つなぐ,to connect,2026-08-12,2026-08-12,verb
繋がる,つながる,to be connected,2026-08-12,2026-08-12,verb
気取っている,きどっている,to act pretentious (to try and impress),2026-08-12,2026-08-12,verb
外す,はずす,to take off; to remove; to miss; to dodge,2026-08-12,2026-08-12,verb
鯖を読む,さばをよむ,to fudge the numbers,2026-08-12,2026-08-12,verb
纏める,まとめる,to summarize,2026-08-12,2026-08-12,verb
嗜む,たしなむ,to dabble in; to enjoy; to partake in,2026-08-12,2026-08-12,verb
